NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
17,74,1242,12,80,0
228,209,7753,7,126,0
76,59,156,6,67,0
172,244,3508,12,0,0
65,141,8149,6,64,0
597,562,2910,11,79,0
183,157,935,12,132,0
29,24,83,15,0,0
44,11,5,15,0,0
357,548,9686,13,139,0
1165,943,413,13,120,0
404,670,4977,13,61,0
40,24,85,9,31,0
625,121,9392,8,19,0
20,18,16,10,0,0
125,112,15082,7,132,0
303,41,47,7,0,0
93,137,6305,11,21,0
44,34,371,15,44,0
91,105,557,12,0,0
554,87,194,9,41,0
246,125,2540,5,0,0
115,295,1052,9,106,0
44,86,106,12,39,0
176,265,2902,11,0,0
82,63,34,13,76,0
66,73,6336,7,138,0
91,173,2491,9,57,0
276,336,6876,13,41,0
133,114,56,11,0,0
30,9,117,8,0,0
6,26,10,14,81,0
968,557,1328,8,34,0
7316,7055,36099,6,84,0
915,1277,5163,12,88,0
19,4,13,15,0,0
6,3,10,6,49,0
96,139,779,8,94,0
20,0,1,10,0,0
32,37,452,14,18,0
23,33,367,10,60,0
91,37,140,11,0,0
304,104,1935,8,142,0
105,157,2137,12,41,0
1108,758,275,10,144,0
62,66,2036,14,37,0
24,24,255,13,59,0
158,414,12542,12,135,0
116,169,835,7,17,0
296,214,3035,6,44,0
46,110,155,10,2,0
35,24,181,12,0,0
530,313,1351,11,146,0
12,4,8,7,0,0
91,45,132,12,35,0
112,153,32146,14,144,0
40,13,31,9,0,0
1255,1276,11065,10,84,0
4053,4990,3568,14,160,0
209,238,2440,8,1,0
91,42,495,12,0,0
588,336,576,11,66,0
88,136,1135,11,0,0
121,82,1453,9,0,0
25,188,1818,10,0,0
464,440,560,11,53,0
41,38,647,6,105,0
70,38,170,11,23,0
48,186,421,15,47,0
215,576,23242,9,85,0
13551,13478,6121,11,147,0
506,564,2573,8,63,0
69,48,458,12,0,0
6,10,4,8,0,0
90,55,743,11,37,0
303,219,4883,15,9,0
161,51,393,14,77,0
540,317,3946,11,69,0
50,74,1308,6,0,0
247,322,5204,12,133,0
60,56,192,3,0,0
252,48,150,5,0,0
32,28,1956,10,28,0
147,523,2607,10,67,0
109,195,958,8,149,0
230,102,753,11,0,0
20,17,53,7,0,0
60,23,173,8,57,0
3,5,124,4,0,0
135,172,883,15,57,0
49,15,79,15,0,0
850,841,6146,12,19,0
31,33,568,10,27,0
14,1,22,11,0,0
129,155,2956,11,0,0
0,213,1965,13,52,0
119,271,6467,12,47,0
1135,1109,8213,12,158,0
7,9,129,7,140,0
1,10,160,15,34,0
27,29,237,13,23,0
16,4,40,7,38,0
314,190,5593,7,158,0
123,270,5024,15,148,0
296,351,5038,12,124,0
177,151,284,13,160,0
134,57,318,8,9,0
88,170,4668,11,0,0
115,150,3449,10,104,0
22,14,57,7,0,0
17,11,29,9,0,0
839,1389,4721,14,83,0
254,242,5461,14,0,0
808,573,5993,10,66,0
106,100,263,13,0,0
133,141,3548,6,0,0
0,0,1,8,0,0
173,76,7373,8,41,0
581,469,3948,14,105,0
109,135,3611,13,144,0
294,187,171,14,91,0
2860,2755,1611,13,0,0
0,401,4869,11,0,0
2,3,50,12,0,0
838,203,313,15,42,0
5,8,191,15,106,0
21,12,608,5,0,0
37,60,704,10,29,0
102,137,94,10,94,0
521,519,12021,7,9,0
120,122,4388,12,88,0
146,735,1673,14,53,0
10,16,49,11,35,0
145,38,656,12,29,0
624,645,5397,4,67,0
3,7,383,9,0,0
103,9849,6256,9,33,0
371,101,46,9,94,0
155,8260,1886,10,102,0
185,55,129,10,0,0
1347,1706,26073,9,65,0
30,46,2084,11,28,0
197,130,1575,11,92,0
55,47,157,12,18,0
69,31,599,15,151,0
176,127,1710,11,0,0
114,80,1747,8,0,0
46,23,1057,8,0,0
62,28,71,10,0,0
184,137,621,7,101,0
0,9,1962,15,0,0
89,34,481,10,5,0
0,76,2539,11,62,0
110,116,906,10,0,0
142,188,1463,8,68,0
21,53,1237,12,32,0
76,69,2208,10,155,0
190,612,5743,11,17,0
40,22,346,11,77,0
712,897,12635,7,100,0
29,37,270,6,19,0
87,608,6262,10,50,0
249,124,583,10,33,0
98,105,1140,6,110,0
20,26,152,11,0,0
39,17,97,7,0,0
95,73,135,15,0,0
86,71,1283,9,42,0
32,16,232,11,75,0
324,385,16408,5,10,0
440,206,1585,8,149,0
421,1039,5011,8,78,0
48,158,4883,13,137,0
60,99,1424,12,6,0
19,96,1996,15,15,0
15,13,82,9,0,0
26,40,37,11,79,0
71,34,207,10,0,0
10,67,79,13,19,0
1,30,78,11,122,0
45,17,27,11,0,0
417,240,4886,15,78,0
14,15,48,11,80,0
120,74,573,12,0,0
20,14,28,12,92,0
18,25,250,14,21,0
47,67,6505,9,20,0
56,76,525,12,0,0
108,98,838,15,89,0
116,123,418,15,0,0
21,2,14,11,0,0
83,110,1376,12,35,0
